Hà Nội,100000
TP. Hồ Chí Minh,700000
An Giang,880000
Bà Rịa Vũng Tàu,790000
Bạc Liêu,260000
Bắc Kạn,960000
Bắc Giang,220000
Bắc Ninh,790000
Bến Tre,930000
Bình Dương,590000
Bình Định,820000
Bình Phước,830000
Bình Thuận,800000
Cà Mau,970000
Cao Bằng,270000
Cần Thơ,900000
Đà Nẵng,550000
Điện Biên,380000
Đắk Lắk,630000
Đắc Nông,640000
Đồng Nai,810000
Đồng Tháp,870000
Gia Lai,600000
Hà Giang,310000
Hà Nam,400000
Hà Tĩnh,480000
Hải Dương,170000
Hải Phòng,180000
Hậu Giang,910000
Hòa Bình,350000
Hưng Yên,160000
Khánh Hoà,650000
Kiên Giang,920000
Kon Tum,580000
Lai Châu,390000
Lạng Sơn,240000
Lào Cai,330000
Lâm Đồng,670000
Long An,850000
Nam Định,420000
Nghệ An,460000,470000
Ninh Bình,430000
Ninh Thuận,660000
Phú Thọ,290000
Phú Yên,620000
Quảng Bình,510000
Quảng Nam,560000
Quảng Ngãi,570000
Quảng Ninh,200000
Quảng Trị,520000
Sóc Trăng,950000
Sơn La,360000
Tây Ninh,840000
Thái Bình,410000
Thái Nguyên,250000
Thanh Hoá,440000,450000
Thừa Thiên Huế,530000
Tiền Giang,860000
Trà Vinh,940000
Tuyên Quang,300000
Vĩnh Long,890000
Vĩnh Phúc,280000
Yên Bái,320000
